LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

508 1 21.59000000 14.72000000 35.30000000
509 1 21.15000000 14.65000000 34.03000000
510 4 20.16000000 13.71000000 33.98000000
511 1 19.73000000 13.18000000 32.65000000
512 3 18.79000000 13.60000000 32.29000000
513 3 20.44000000 13.32000000 31.83000000
514 3 19.66000000 12.09000000 32.68000000
515 1 21.72000000 15.64000000 33.07000000
516 1 22.73000000 16.32000000 33.72000000
517 6 22.84000000 15.98000000 35.50000000
518 1 23.35000000 17.27000000 32.80000000
519 1 22.77000000 17.19000000 31.55000000
520 6 21.41000000 16.11000000 31.41000000
521 3 23.17000000 17.68000000 30.66000000
522 1 24.49000000 18.16000000 32.90000000
523 3 25.10000000 17.97000000 32.02000000
524 3 24.22000000 19.21000000 32.96000000
525 3 25.15000000 17.93000000 33.74000000
526 1 20.74000000 13.38000000 37.78000000
527 1 19.76000000 12.50000000 38.28000000
528 1 18.76000000 11.68000000 37.21000000
529 1 17.82000000 10.68000000 37.47000000
530 6 17.33000000 9.57000000 38.78000000
531 4 19.79000000 12.17000000 39.61000000
532 1 20.72000000 12.74000000 40.42000000
533 1 21.68000000 13.69000000 39.94000000
534 4 21.69000000 13.97000000 38.61000000
535 1 22.58000000 14.13000000 41.06000000
536 1 22.10000000 13.58000000 42.27000000
537 1 21.00000000 12.55000000 41.94000000
538 5 20.46000000 11.79000000 42.72000000
539 1 22.73000000 13.91000000 43.43000000
540 3 22.15000000 13.68000000 44.33000000
541 1 23.81000000 14.73000000 43.43000000
542 3 24.38000000 14.85000000 44.36000000
543 1 24.26000000 15.37000000 42.28000000
544 3 24.92000000 16.23000000 42.25000000
545 1 23.60000000 15.03000000 41.11000000
546 3 23.89000000 15.49000000 40.16000000
547 2 51.69000000 4.02000000 62.26000000
548 1 51.15000000 4.76000000 61.24000000
549 1 49.93000000 5.40000000 61.43000000
550 3 49.45000000 5.24000000 62.39000000
551 1 49.51000000 6.43000000 60.62000000
552 1 48.33000000 7.32000000 60.73000000
553 1 47.32000000 7.13000000 61.62000000
554 1 47.03000000 8.10000000 62.71000000
555 4 46.59000000 8.92000000 63.42000000
556 1 46.36000000 5.99000000 61.71000000
557 4 45.71000000 5.05000000 61.94000000
558 1 48.42000000 8.37000000 59.67000000
559 1 49.61000000 7.95000000 58.80000000
560 5 49.91000000 8.39000000 57.70000000
561 1 50.32000000 6.83000000 59.57000000
562 1 51.59000000 6.18000000 59.38000000
563 3 52.30000000 6.50000000 58.62000000
564 1 52.00000000 5.17000000 60.20000000
565 2 53.16000000 4.51000000 59.93000000
566 1 47.50000000 9.32000000 59.45000000
567 3 46.73000000 9.47000000 60.21000000
568 1 47.31000000 10.45000000 58.50000000
569 1 46.75000000 11.66000000 58.84000000
570 1 45.90000000 11.85000000 60.04000000
571 3 45.15000000 11.06000000 60.07000000
572 3 46.55000000 11.76000000 60.91000000
573 3 45.38000000 12.81000000 60.06000000
574 1 46.75000000 12.64000000 57.74000000
575 1 47.05000000 12.08000000 56.58000000
576 6 47.58000000 10.43000000 56.69000000
577 1 46.80000000 13.08000000 55.35000000
578 4 46.89000000 13.07000000 53.96000000
579 1 46.88000000 11.78000000 53.12000000
580 3 45.91000000 11.29000000 53.21000000
581 3 47.01000000 12.03000000 52.06000000
582 3 47.60000000 11.06000000 53.50000000
583 1 46.30000000 14.30000000 53.53000000
584 1 45.84000000 14.89000000 52.07000000
585 1 45.11000000 16.09000000 51.94000000
586 1 44.78000000 16.22000000 50.56000000
587 1 45.34000000 15.15000000 49.91000000
588 4 46.05000000 14.32000000 50.76000000
589 1 47.37000000 13.94000000 50.30000000
